item_name,2026-02-20 02:00,2026-02-20 03:00,2026-02-20 04:00,2026-02-20 05:00,2026-02-20 06:00,2026-02-20 07:00,2026-02-20 08:00,2026-02-20 10:00,2026-02-20 13:00,2026-02-20 14:00,2026-02-20 15:00,2026-02-20 16:00,2026-02-20 17:00,2026-02-20 18:00,2026-02-20 19:00,2026-02-20 20:00,2026-02-20 21:00,2026-02-20 22:00,2026-02-20 23:00,2026-02-21 00:00,2026-02-21 01:00,2026-02-21 02:00,2026-02-21 03:00,2026-02-21 04:00,2026-02-21 05:00,2026-02-21 06:00,2026-02-21 07:00,2026-02-21 08:00,2026-02-21 10:00,2026-02-21 13:00,2026-02-21 14:00,2026-02-21 15:00,2026-02-21 16:00,2026-02-21 17:00,2026-02-21 18:00,2026-02-21 19:00,2026-02-21 20:00,2026-02-21 21:00,2026-02-21 22:00,2026-02-21 23:00,2026-02-22 00:00,2026-02-22 01:00,2026-02-22 02:00,2026-02-22 03:00,2026-02-22 04:00,2026-02-22 05:00,2026-02-22 06:00,2026-02-22 07:00,2026-02-22 08:00,2026-02-22 10:00,2026-02-22 13:00,2026-02-22 14:00,2026-02-22 15:00,2026-02-22 16:00,2026-02-22 17:00,2026-02-22 18:00,2026-02-22 19:00,2026-02-22 20:00,2026-02-22 21:00,2026-02-22 22:00,2026-02-22 23:00,2026-02-23 00:00
창연,10240.0,10306.0,10304.0,10304.0,11321.0,11297.0,11422.0,12581.0,10477.0,12162.0,11655.0,9117.0,10945.0,11586.0,11327.0,11327.0,12990.0,10588.0,12279.0,11442.0,11774.0,9640.0,9963.0,9857.0,9857.0,8115.0,8328.0,8734.0,10927.0,13600.0,14857.0,13719.0,13719.0,13420.0,13795.0,14463.0,14520.0,11157.0,7876.0,7876.0,7767.0,8373.0,8844.0,7256.0,7362.0,6148.0,5970.0,5792.0,5923.0,8482.0,12135.0,10173.0,8451.0,9520.0,9520.0,9754.0,10147.0,10459.0,12104.0,10036.0,10036.0,10473.0
더럽혀진 부싯깃 상자,7299.0,7076.0,7088.0,7088.0,7079.0,7087.0,7108.0,6509.0,5647.0,5108.0,5136.0,4931.0,5556.0,5923.0,6021.0,6021.0,6073.0,6966.0,6975.0,5783.0,5814.0,5063.0,5117.0,5132.0,5132.0,6527.0,6572.0,5570.0,5303.0,5211.0,4098.0,4143.0,4143.0,4079.0,1571.0,1801.0,2143.0,1277.0,500.0,500.0,813.0,2020.0,2116.0,957.0,973.0,1134.0,969.0,991.0,1043.0,1255.0,484.0,827.0,1345.0,1750.0,1750.0,1393.0,808.0,1042.0,2002.0,1947.0,1947.0,1888.0
장막의 천,123059.0,122060.0,122062.0,122062.0,122413.0,122378.0,122378.0,122413.0,117355.0,104704.0,89197.0,27228.0,7090.0,7124.0,7114.0,7114.0,6872.0,59196.0,58727.0,58856.0,59000.0,59260.0,59372.0,59395.0,59395.0,59445.0,59489.0,63777.0,64601.0,63780.0,8050.0,11904.0,11904.0,21975.0,21639.0,21796.0,21844.0,21615.0,22962.0,22962.0,23229.0,23776.0,25047.0,28633.0,26201.0,38600.0,40344.0,40344.0,40455.0,40517.0,52975.0,51033.0,50139.0,50041.0,50041.0,53802.0,54200.0,50651.0,50211.0,49268.0,49268.0,49371.0
영혼 티끌,84809.0,84809.0,84707.0,84707.0,84707.0,84840.0,84840.0,84452.0,88513.0,88882.0,61882.0,39031.0,9092.0,9188.0,9945.0,9945.0,10067.0,10023.0,21276.0,21447.0,20162.0,20214.0,21498.0,21159.0,21159.0,21163.0,21072.0,20736.0,20899.0,19888.0,19554.0,20065.0,20065.0,20875.0,20942.0,20866.0,20284.0,20576.0,20541.0,20541.0,20792.0,20314.0,20316.0,20244.0,18707.0,48277.0,71502.0,71502.0,71369.0,71366.0,67404.0,67409.0,66911.0,66834.0,66834.0,66899.0,67053.0,71259.0,70738.0,70831.0,70831.0,60298.0
방직천,32595.0,32666.0,32328.0,32328.0,32007.0,25268.0,25269.0,5983.0,5764.0,7133.0,6065.0,4718.0,5028.0,5169.0,5128.0,5128.0,5355.0,7409.0,10534.0,12331.0,11950.0,10789.0,10776.0,10907.0,10907.0,10907.0,10897.0,10902.0,10704.0,7769.0,1002.0,1006.0,1006.0,1166.0,21563.0,20218.0,931.0,5707.0,5819.0,5819.0,9206.0,9286.0,27913.0,28069.0,28287.0,27306.0,29310.0,29388.0,29047.0,21784.0,24513.0,23509.0,23471.0,22778.0,22778.0,22743.0,23769.0,24162.0,23872.0,23299.0,23299.0,23717.0
실질적 소고기,60885.0,61059.0,60287.0,60287.0,60359.0,60235.0,60875.0,45455.0,47786.0,49668.0,4147.0,5943.0,9184.0,48496.0,48559.0,48559.0,49157.0,52045.0,74466.0,67535.0,60945.0,63428.0,62758.0,63927.0,63927.0,69721.0,70185.0,70516.0,74526.0,79156.0,78449.0,80084.0,80084.0,81982.0,70567.0,73578.0,74796.0,77798.0,76290.0,76290.0,77854.0,70278.0,78428.0,78582.0,71233.0,71450.0,71301.0,70988.0,71027.0,75663.0,75849.0,80805.0,76220.0,80015.0,80015.0,81973.0,42152.0,49925.0,42684.0,32396.0,32396.0,16273.0
비단 옷감,59939.0,60053.0,60053.0,60053.0,33829.0,33792.0,18323.0,17279.0,81676.0,82521.0,82532.0,74754.0,74825.0,74913.0,75428.0,75428.0,75889.0,76031.0,94972.0,102809.0,102560.0,102605.0,102608.0,105788.0,105788.0,96682.0,95715.0,95715.0,95711.0,96019.0,96414.0,95935.0,95935.0,96742.0,96375.0,96449.0,96243.0,96475.0,96439.0,96439.0,95710.0,95961.0,94389.0,105026.0,105028.0,131436.0,132438.0,127582.0,128079.0,128180.0,70528.0,71268.0,71452.0,70872.0,70872.0,69086.0,71788.0,71249.0,71724.0,72973.0,72973.0,54718.0
진균꽃,52115.0,51885.0,51866.0,51866.0,53449.0,71063.0,71124.0,45163.0,39954.0,42479.0,42410.0,20463.0,23925.0,17512.0,18253.0,18253.0,12503.0,20633.0,21223.0,27303.0,21334.0,22315.0,11356.0,11437.0,11437.0,11590.0,4924.0,5515.0,10042.0,14130.0,12173.0,11633.0,11633.0,12248.0,10644.0,4818.0,6439.0,22183.0,7390.0,7390.0,8549.0,9561.0,9947.0,9005.0,10252.0,10928.0,10809.0,10885.0,10663.0,4847.0,11283.0,11478.0,1999.0,4253.0,4253.0,7299.0,10116.0,6697.0,10475.0,7813.0,7813.0,8430.0
소분된 스테이크,49372.0,49372.0,49372.0,49372.0,49372.0,49372.0,49372.0,49231.0,47571.0,40050.0,11000.0,10999.0,10978.0,41074.0,41228.0,41228.0,39736.0,40467.0,40552.0,40297.0,40062.0,39481.0,39504.0,38923.0,38923.0,38923.0,38701.0,38701.0,44552.0,45833.0,45457.0,44545.0,44545.0,44354.0,44786.0,44801.0,44539.0,54213.0,54217.0,54217.0,48906.0,48906.0,48491.0,48506.0,48706.0,48706.0,48706.0,48706.0,48806.0,48518.0,48491.0,49784.0,49784.0,50897.0,50897.0,49910.0,19747.0,50390.0,41924.0,43693.0,43693.0,43837.0
마법 옷감,48024.0,47959.0,47959.0,47959.0,47923.0,47924.0,47924.0,48029.0,42390.0,42050.0,40806.0,16177.0,3438.0,3488.0,3790.0,3790.0,3418.0,3573.0,3589.0,2773.0,2773.0,21989.0,17168.0,17168.0,17168.0,1000.0,1006.0,1006.0,1141.0,1899.0,2229.0,2427.0,2427.0,2843.0,2763.0,3083.0,3157.0,3221.0,3647.0,3647.0,3176.0,3155.0,3215.0,2773.0,2773.0,16589.0,16675.0,16675.0,16975.0,17339.0,14044.0,13700.0,13779.0,13837.0,13837.0,15184.0,15631.0,19662.0,19759.0,16290.0,16290.0,16173.0
